user_id,company_id,quiz_id,question,answer,is_true
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,4b4bf99b-7a79-4e57-8d64-1066dd0c9da7,5-4,"['2', '3']",False
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,4b4bf99b-7a79-4e57-8d64-1066dd0c9da7,8-3,"['8', '5']",False
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,4b4bf99b-7a79-4e57-8d64-1066dd0c9da7,12-3,['11'],False
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,524bd6ff-2e7c-4622-8a42-a330a941c15b,5f61ab87-80b9-4780-9a28-05ef870c1994,1+1,['3'],False
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,524bd6ff-2e7c-4622-8a42-a330a941c15b,5f61ab87-80b9-4780-9a28-05ef870c1994,2+2,['4'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,524bd6ff-2e7c-4622-8a42-a330a941c15b,5f61ab87-80b9-4780-9a28-05ef870c1994,3+3,['6'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,135966e6-6f5f-48e1-abe1-34b02d641d67,5c7a0ba5-3aa9-4e66-bf6b-ed36f08b9462,5*5,['25'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,135966e6-6f5f-48e1-abe1-34b02d641d67,5c7a0ba5-3aa9-4e66-bf6b-ed36f08b9462,2*2,['4'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,135966e6-6f5f-48e1-abe1-34b02d641d67,5c7a0ba5-3aa9-4e66-bf6b-ed36f08b9462,5*5,['25'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,135966e6-6f5f-48e1-abe1-34b02d641d67,5c7a0ba5-3aa9-4e66-bf6b-ed36f08b9462,2*2,['4'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,886b68c1-b40c-443a-ac43-e6a0599211bf,1+1,['2'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,886b68c1-b40c-443a-ac43-e6a0599211bf,5+5,['10'],True
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,886b68c1-b40c-443a-ac43-e6a0599211bf,3+3,['5'],False
cb92a432-eb83-47b4-86b5-e4ab2ac3cfe7,c5793ae0-254b-4384-b151-ffc405f15fcd,886b68c1-b40c-443a-ac43-e6a0599211bf,4+8,['12'],True
